Order_ID,Timestamp,Locker_ID,Pickup_Delay_hr
ORD000001,2025-09-16 21:42,PL049,34.5
ORD000002,2025-09-15 07:39,PL065,14.3
ORD000003,2025-09-19 06:05,PL153,17.2
ORD000004,2025-09-19 06:42,PL074,37.3
ORD000005,2025-09-18 11:38,PL146,56.1
ORD000006,2025-09-18 20:22,PL122,37.5
ORD000007,2025-09-19 18:02,PL049,16.8
ORD000008,2025-09-18 16:32,PL128,30.9
ORD000009,2025-09-19 11:40,PL047,66.4
ORD000010,2025-09-16 14:04,PL024,16.3
ORD000011,2025-09-15 13:44,PL071,45
ORD000012,2025-09-16 10:13,PL100,47.8
ORD000013,2025-09-20 06:46,PL089,65.3
ORD000014,2025-09-20 18:45,PL165,40.3
ORD000015,2025-09-21 15:58,PL110,10.6
ORD000016,2025-09-20 20:49,PL020,1.1
ORD000017,2025-09-21 21:57,PL154,14.2
ORD000018,2025-09-21 10:10,PL114,60.1
ORD000019,2025-09-21 16:53,PL111,19.6
ORD000020,2025-09-18 13:43,PL131,57.2
ORD000021,2025-09-21 09:17,PL041,25.4
ORD000022,2025-09-17 07:01,PL089,57.3
ORD000023,2025-09-18 07:33,PL027,33.1
ORD000024,2025-09-20 17:20,PL164,15.1
ORD000025,2025-09-19 21:36,PL109,64.6
ORD000026,2025-09-19 16:09,PL005,71.8
ORD000027,2025-09-21 14:34,PL162,10.4
ORD000028,2025-09-21 09:04,PL092,18.5
ORD000029,2025-09-17 06:31,PL104,21.1
ORD000030,2025-09-19 13:51,PL003,67.7
ORD000031,2025-09-15 17:56,PL058,44.5
ORD000032,2025-09-19 13:36,PL042,59.7
ORD000033,2025-09-20 20:24,PL024,56.7
ORD000034,2025-09-19 11:15,PL158,3.8
ORD000035,2025-09-21 18:16,PL043,26.2
ORD000036,2025-09-15 15:54,PL143,1.9
ORD000037,2025-09-20 07:10,PL150,42.5
ORD000038,2025-09-17 08:51,PL058,6.8
ORD000039,2025-09-16 07:16,PL136,6.9
ORD000040,2025-09-18 11:21,PL036,49.8
ORD000041,2025-09-17 18:10,PL068,18.1
ORD000042,2025-09-21 11:46,PL146,31.6
ORD000043,2025-09-20 20:24,PL109,2.6
ORD000044,2025-09-18 07:26,PL092,64
ORD000045,2025-09-15 07:47,PL004,1.9
ORD000046,2025-09-16 07:30,PL178,15.2
ORD000047,2025-09-16 09:30,PL099,18.7
ORD000048,2025-09-17 07:03,PL177,22.6
ORD000049,2025-09-16 11:11,PL154,4.4
ORD000050,2025-09-19 14:53,PL114,46.6
ORD000051,2025-09-18 21:05,PL006,70.9
ORD000052,2025-09-17 07:05,PL134,65.9
ORD000053,2025-09-18 13:14,PL130,16.5
ORD000054,2025-09-21 15:13,PL116,44.7
ORD000055,2025-09-20 07:36,PL003,22.1
ORD000056,2025-09-18 16:28,PL118,71.7
ORD000057,2025-09-15 09:01,PL149,37.8
ORD000058,2025-09-17 07:55,PL002,70.9
ORD000059,2025-09-18 20:24,PL102,47.4
ORD000060,2025-09-18 10:23,PL138,28.9
ORD000061,2025-09-19 11:55,PL040,51.8
ORD000062,2025-09-15 19:35,PL005,34.8
ORD000063,2025-09-16 16:14,PL033,3.1
ORD000064,2025-09-15 07:33,PL177,27.7
ORD000065,2025-09-15 20:34,PL103,67.9
ORD000066,2025-09-18 14:03,PL109,57.1
ORD000067,2025-09-18 18:58,PL073,15.6
ORD000068,2025-09-15 15:31,PL157,42.3
ORD000069,2025-09-20 06:47,PL076,71.8
ORD000070,2025-09-19 22:59,PL009,19.5
ORD000071,2025-09-19 13:24,PL035,9.6
ORD000072,2025-09-19 14:35,PL016,1.9
ORD000073,2025-09-17 14:06,PL101,23.8
ORD000074,2025-09-21 08:16,PL069,7.8
ORD000075,2025-09-21 16:12,PL118,57.2
ORD000076,2025-09-17 10:01,PL130,47.8
ORD000077,2025-09-15 14:31,PL082,64.1
ORD000078,2025-09-21 19:35,PL152,7.4
ORD000079,2025-09-21 16:02,PL113,18.3
ORD000080,2025-09-19 18:39,PL146,45.2
ORD000081,2025-09-20 20:53,PL069,17.4
ORD000082,2025-09-20 20:45,PL110,32.6
ORD000083,2025-09-20 21:53,PL104,26.9
ORD000084,2025-09-21 09:37,PL040,4.3
ORD000085,2025-09-19 12:21,PL149,37.9
ORD000086,2025-09-16 18:57,PL057,35
ORD000087,2025-09-18 13:39,PL100,69.4
ORD000088,2025-09-17 14:38,PL042,7.9
ORD000089,2025-09-16 08:55,PL146,38.2
ORD000090,2025-09-21 13:20,PL091,62
ORD000091,2025-09-20 14:30,PL013,21.2
ORD000092,2025-09-19 18:21,PL054,45.8
ORD000093,2025-09-17 17:06,PL083,35.4
ORD000094,2025-09-15 07:17,PL032,64.7
ORD000095,2025-09-17 20:45,PL060,54.6
ORD000096,2025-09-17 22:35,PL029,52.2
ORD000097,2025-09-18 18:22,PL081,23.1
ORD000098,2025-09-17 16:02,PL108,66.2
ORD000099,2025-09-20 21:17,PL121,66.8
ORD000100,2025-09-17 07:22,PL085,8.3
ORD000101,2025-09-15 07:47,PL126,68.4
ORD000102,2025-09-19 21:23,PL171,18
ORD000103,2025-09-15 19:48,PL112,63.9
ORD000104,2025-09-19 12:49,PL072,20.4
ORD000105,2025-09-20 16:32,PL029,29.8
ORD000106,2025-09-21 07:53,PL166,40.1
ORD000107,2025-09-16 18:23,PL001,55.1
ORD000108,2025-09-19 17:45,PL141,51.8
ORD000109,2025-09-21 06:26,PL133,42.6
ORD000110,2025-09-17 08:08,PL055,38.7
ORD000111,2025-09-19 18:00,PL144,38
ORD000112,2025-09-15 21:04,PL043,68.8
ORD000113,2025-09-20 16:55,PL042,41.2
ORD000114,2025-09-18 06:15,PL042,35.4
ORD000115,2025-09-16 10:02,PL097,28
ORD000116,2025-09-17 09:29,PL157,39
ORD000117,2025-09-15 16:25,PL025,22.5
ORD000118,2025-09-21 08:41,PL115,6.5
ORD000119,2025-09-15 06:22,PL032,47.4
ORD000120,2025-09-18 06:44,PL081,48.5
ORD000121,2025-09-17 15:08,PL014,27.9
ORD000122,2025-09-18 15:58,PL111,48.3
ORD000123,2025-09-21 06:17,PL006,55.4
ORD000124,2025-09-19 20:12,PL175,21.6
ORD000125,2025-09-19 13:16,PL043,3.1
ORD000126,2025-09-21 21:49,PL165,12.6
ORD000127,2025-09-21 22:17,PL113,3.3
ORD000128,2025-09-17 10:39,PL113,56.3
ORD000129,2025-09-19 21:52,PL031,70
ORD000130,2025-09-20 16:12,PL162,30.2
ORD000131,2025-09-15 18:29,PL094,28
ORD000132,2025-09-15 21:54,PL006,30.4
ORD000133,2025-09-18 19:58,PL038,71.2
ORD000134,2025-09-19 08:04,PL095,65.4
ORD000135,2025-09-15 10:45,PL006,51.8
ORD000136,2025-09-20 14:03,PL084,25
ORD000137,2025-09-18 08:32,PL015,15.1
ORD000138,2025-09-21 22:48,PL034,13
ORD000139,2025-09-17 20:28,PL170,43.2
ORD000140,2025-09-16 13:34,PL012,52.2
ORD000141,2025-09-16 14:37,PL128,47.1
ORD000142,2025-09-17 10:17,PL154,67.9
ORD000143,2025-09-20 14:59,PL041,36.9
ORD000144,2025-09-21 10:55,PL066,59.6
ORD000145,2025-09-19 17:35,PL056,53.9
ORD000146,2025-09-15 16:36,PL152,64.7
ORD000147,2025-09-20 08:34,PL098,35
ORD000148,2025-09-21 20:22,PL025,29.5
ORD000149,2025-09-16 06:29,PL092,58.3
ORD000150,2025-09-16 07:43,PL107,38.3
ORD000151,2025-09-18 17:25,PL061,35.8
ORD000152,2025-09-20 06:17,PL014,35.2
ORD000153,2025-09-20 06:53,PL162,4.3
ORD000154,2025-09-18 20:15,PL124,45.6
ORD000155,2025-09-21 22:12,PL095,7.1
ORD000156,2025-09-17 19:27,PL032,67.2
ORD000157,2025-09-17 20:52,PL155,52.2
ORD000158,2025-09-18 15:29,PL138,40.3
ORD000159,2025-09-19 14:25,PL028,14
ORD000160,2025-09-15 08:46,PL118,36.3
ORD000161,2025-09-21 16:20,PL037,3.7
ORD000162,2025-09-19 11:12,PL138,16.9
ORD000163,2025-09-18 18:35,PL113,59.9
ORD000164,2025-09-20 08:43,PL005,4.5
ORD000165,2025-09-19 07:10,PL035,1.5
ORD000166,2025-09-15 15:35,PL078,68.2
ORD000167,2025-09-16 06:59,PL014,67.9
ORD000168,2025-09-16 14:02,PL156,30.9
ORD000169,2025-09-17 20:18,PL122,13.4
ORD000170,2025-09-21 09:23,PL097,50.2
ORD000171,2025-09-15 17:01,PL127,18.2
ORD000172,2025-09-19 08:17,PL031,11.2
ORD000173,2025-09-17 21:27,PL043,24.3
ORD000174,2025-09-15 18:52,PL180,39.6
ORD000175,2025-09-21 12:20,PL081,5.1
ORD000176,2025-09-21 13:41,PL027,2.1
ORD000177,2025-09-18 22:57,PL030,42
ORD000178,2025-09-16 11:35,PL180,11.4
ORD000179,2025-09-19 15:15,PL100,61
ORD000180,2025-09-21 21:46,PL075,47.3
ORD000181,2025-09-17 19:11,PL145,49.8
ORD000182,2025-09-21 22:23,PL062,42.2
ORD000183,2025-09-19 13:37,PL013,40.8
ORD000184,2025-09-18 21:10,PL126,28.4
ORD000185,2025-09-20 19:57,PL124,60.9
ORD000186,2025-09-21 09:21,PL063,3.5
ORD000187,2025-09-21 13:03,PL049,37.3
ORD000188,2025-09-21 09:37,PL061,32.5
ORD000189,2025-09-18 12:17,PL116,20.9
ORD000190,2025-09-17 12:51,PL001,8
ORD000191,2025-09-17 17:42,PL145,36.6
ORD000192,2025-09-15 20:39,PL161,13.4
ORD000193,2025-09-16 13:24,PL028,34.1
ORD000194,2025-09-16 13:47,PL002,5.6
ORD000195,2025-09-20 21:21,PL159,11.7
ORD000196,2025-09-18 17:02,PL136,58
ORD000197,2025-09-20 15:09,PL127,36
ORD000198,2025-09-21 19:45,PL003,37
ORD000199,2025-09-21 15:57,PL013,46.6
ORD000200,2025-09-18 22:30,PL012,47.3
ORD000201,2025-09-20 07:07,PL158,51.6
ORD000202,2025-09-18 06:36,PL051,17.6
ORD000203,2025-09-19 11:34,PL095,56.1
ORD000204,2025-09-19 22:11,PL165,3.5
ORD000205,2025-09-20 06:24,PL047,31.2
ORD000206,2025-09-18 15:00,PL056,50.9
ORD000207,2025-09-16 06:40,PL144,67
ORD000208,2025-09-17 13:57,PL010,13
ORD000209,2025-09-16 15:43,PL153,29.6
ORD000210,2025-09-21 10:00,PL003,5
ORD000211,2025-09-16 09:27,PL082,3.1
ORD000212,2025-09-21 22:24,PL028,12.6
ORD000213,2025-09-21 17:32,PL093,29.7
ORD000214,2025-09-19 18:12,PL057,25.5
ORD000215,2025-09-15 21:17,PL084,32.8
ORD000216,2025-09-15 11:05,PL118,2.4
ORD000217,2025-09-15 07:19,PL061,70.4
ORD000218,2025-09-21 14:42,PL102,48.7
ORD000219,2025-09-16 13:14,PL171,16.8
ORD000220,2025-09-17 11:58,PL150,4.1
ORD000221,2025-09-17 17:45,PL154,37.9
ORD000222,2025-09-20 19:34,PL054,18.6
ORD000223,2025-09-20 17:05,PL055,49.8
ORD000224,2025-09-21 06:16,PL054,47.6
ORD000225,2025-09-16 22:56,PL058,63.7
ORD000226,2025-09-17 09:46,PL173,42.2
ORD000227,2025-09-18 22:11,PL165,22.1
ORD000228,2025-09-18 12:07,PL043,20
ORD000229,2025-09-17 11:55,PL085,65.8
ORD000230,2025-09-15 21:36,PL162,50.7
ORD000231,2025-09-21 08:10,PL153,62.2
ORD000232,2025-09-15 14:50,PL102,56.1
ORD000233,2025-09-20 08:27,PL142,2.5
ORD000234,2025-09-17 08:23,PL049,46.4
ORD000235,2025-09-16 08:07,PL139,61.6
ORD000236,2025-09-17 19:39,PL156,31.4
ORD000237,2025-09-21 10:02,PL018,23
ORD000238,2025-09-15 10:31,PL055,7.2
ORD000239,2025-09-17 20:25,PL170,12.9
ORD000240,2025-09-18 14:12,PL036,10.1
ORD000241,2025-09-19 19:16,PL148,3.5
ORD000242,2025-09-16 06:50,PL071,39.1
ORD000243,2025-09-15 16:38,PL113,20.8
ORD000244,2025-09-16 12:41,PL027,15.9
ORD000245,2025-09-19 08:37,PL094,69.9
ORD000246,2025-09-21 12:22,PL133,27.8
ORD000247,2025-09-18 09:44,PL086,27.3
ORD000248,2025-09-16 15:10,PL148,10
ORD000249,2025-09-18 21:53,PL114,8.3
ORD000250,2025-09-17 14:25,PL169,58.5
ORD000251,2025-09-21 09:18,PL139,41.1
ORD000252,2025-09-20 14:10,PL038,69.1
ORD000253,2025-09-16 18:23,PL106,50.3
ORD000254,2025-09-15 09:13,PL127,17.1
ORD000255,2025-09-17 19:15,PL151,43.3
ORD000256,2025-09-20 10:44,PL090,30.3
ORD000257,2025-09-21 15:53,PL115,7.3
ORD000258,2025-09-15 20:20,PL105,60.3
ORD000259,2025-09-18 18:30,PL011,1.4
ORD000260,2025-09-15 19:16,PL147,25.7
ORD000261,2025-09-20 21:28,PL036,38.3
ORD000262,2025-09-19 16:02,PL170,51.8
ORD000263,2025-09-15 07:46,PL059,17.2
ORD000264,2025-09-21 19:28,PL113,25.2
ORD000265,2025-09-17 17:20,PL030,68.6
ORD000266,2025-09-17 13:57,PL108,28.1
ORD000267,2025-09-18 18:08,PL149,42.6
ORD000268,2025-09-21 08:12,PL047,60.5
ORD000269,2025-09-16 14:29,PL105,71.8
ORD000270,2025-09-17 16:45,PL088,36.9
ORD000271,2025-09-15 13:38,PL114,55
ORD000272,2025-09-17 08:21,PL135,26.4
ORD000273,2025-09-15 15:26,PL142,58.9
ORD000274,2025-09-15 06:16,PL012,51.1
ORD000275,2025-09-18 18:15,PL051,3
ORD000276,2025-09-21 19:03,PL010,66
ORD000277,2025-09-16 15:23,PL121,61.2
ORD000278,2025-09-20 09:32,PL089,10
ORD000279,2025-09-16 22:09,PL037,10.9
ORD000280,2025-09-16 14:23,PL163,50.7
ORD000281,2025-09-15 10:43,PL162,60.5
ORD000282,2025-09-15 20:18,PL027,14.8
ORD000283,2025-09-15 22:58,PL046,4.5
ORD000284,2025-09-21 13:54,PL031,50.9
ORD000285,2025-09-18 10:28,PL091,52.5
ORD000286,2025-09-18 18:08,PL100,65.8
ORD000287,2025-09-19 13:24,PL120,10.6
ORD000288,2025-09-20 19:27,PL053,34.8
ORD000289,2025-09-21 10:19,PL024,51.4
ORD000290,2025-09-21 15:01,PL166,24.8
ORD000291,2025-09-16 11:45,PL148,40.4
ORD000292,2025-09-16 09:16,PL123,17.6
ORD000293,2025-09-19 18:02,PL092,56.3
ORD000294,2025-09-15 15:28,PL033,31.7
ORD000295,2025-09-15 07:58,PL093,17.7
ORD000296,2025-09-17 07:40,PL036,66.5
ORD000297,2025-09-16 20:41,PL045,56
ORD000298,2025-09-20 17:36,PL096,53
ORD000299,2025-09-15 18:50,PL102,43.7
ORD000300,2025-09-17 10:31,PL150,1.3
ORD000301,2025-09-20 06:17,PL172,57.7
ORD000302,2025-09-15 12:27,PL135,24.1
ORD000303,2025-09-20 16:10,PL108,48.2
ORD000304,2025-09-17 10:48,PL005,1.3
ORD000305,2025-09-18 13:09,PL159,31.8
ORD000306,2025-09-20 06:54,PL160,36.5
ORD000307,2025-09-15 20:24,PL167,17.1
ORD000308,2025-09-18 14:34,PL141,13.5
ORD000309,2025-09-18 18:52,PL122,25.3
ORD000310,2025-09-18 18:28,PL030,41.2
ORD000311,2025-09-20 07:38,PL054,38.1
ORD000312,2025-09-16 11:06,PL002,31.2
ORD000313,2025-09-15 08:05,PL028,70.9
ORD000314,2025-09-21 09:55,PL131,59.6
ORD000315,2025-09-20 19:11,PL161,70.7
ORD000316,2025-09-16 17:01,PL111,69.1
ORD000317,2025-09-17 18:51,PL009,22.3
ORD000318,2025-09-20 17:05,PL054,45
ORD000319,2025-09-21 22:41,PL138,71.9
ORD000320,2025-09-18 22:42,PL115,33.2
ORD000321,2025-09-18 06:35,PL082,50
ORD000322,2025-09-15 11:14,PL153,9.4
ORD000323,2025-09-15 18:54,PL108,11.4
ORD000324,2025-09-20 20:16,PL073,53.7
ORD000325,2025-09-20 11:58,PL147,18.5
ORD000326,2025-09-21 13:52,PL079,22.4
ORD000327,2025-09-17 09:03,PL046,58.1
ORD000328,2025-09-21 21:59,PL131,70.2
ORD000329,2025-09-15 15:26,PL150,42.2
ORD000330,2025-09-17 10:50,PL061,39.5
ORD000331,2025-09-20 12:07,PL020,31.5
ORD000332,2025-09-20 16:19,PL170,66.7
ORD000333,2025-09-18 22:22,PL098,71.9
ORD000334,2025-09-16 13:20,PL017,13.1
ORD000335,2025-09-20 14:52,PL082,11.2
ORD000336,2025-09-20 21:54,PL174,70.3
ORD000337,2025-09-16 19:07,PL017,63.9
ORD000338,2025-09-19 14:34,PL094,59.1
ORD000339,2025-09-15 18:45,PL074,41.6
ORD000340,2025-09-16 22:59,PL165,25
ORD000341,2025-09-19 18:00,PL173,9
ORD000342,2025-09-21 15:46,PL178,13.1
ORD000343,2025-09-20 14:28,PL179,21.3
ORD000344,2025-09-15 15:24,PL074,64.4
ORD000345,2025-09-20 08:46,PL048,39.8
ORD000346,2025-09-21 19:17,PL162,33.4
ORD000347,2025-09-19 13:13,PL068,35.5
ORD000348,2025-09-15 21:27,PL090,40.6
ORD000349,2025-09-16 22:33,PL061,64
ORD000350,2025-09-19 15:41,PL161,23.4
ORD000351,2025-09-15 15:22,PL110,14.4
ORD000352,2025-09-15 22:04,PL116,44.5
ORD000353,2025-09-21 08:52,PL108,60.3
ORD000354,2025-09-20 12:26,PL147,59.1
ORD000355,2025-09-17 10:08,PL070,22
ORD000356,2025-09-16 18:22,PL089,33.9
ORD000357,2025-09-19 18:41,PL030,5.8
ORD000358,2025-09-15 11:06,PL106,27.4
ORD000359,2025-09-19 15:52,PL103,34.9
ORD000360,2025-09-17 19:55,PL089,71.7
ORD000361,2025-09-20 21:01,PL002,27.8
ORD000362,2025-09-18 22:01,PL166,65.4
ORD000363,2025-09-19 06:45,PL137,10.1
ORD000364,2025-09-17 07:05,PL075,65.2
ORD000365,2025-09-21 15:05,PL134,60.7
ORD000366,2025-09-20 19:44,PL031,8.7
ORD000367,2025-09-17 18:02,PL142,16.6
ORD000368,2025-09-16 09:38,PL047,26
ORD000369,2025-09-18 21:18,PL169,9.7
ORD000370,2025-09-21 06:46,PL138,42.1
ORD000371,2025-09-18 21:12,PL049,19
ORD000372,2025-09-16 11:06,PL022,10.1
ORD000373,2025-09-18 22:47,PL001,6.1
ORD000374,2025-09-17 18:50,PL121,59
ORD000375,2025-09-20 06:28,PL132,8
ORD000376,2025-09-18 20:29,PL067,26.4
ORD000377,2025-09-19 06:06,PL053,18.8
ORD000378,2025-09-19 11:15,PL166,51.1
ORD000379,2025-09-21 21:48,PL125,4.8
ORD000380,2025-09-15 06:24,PL059,24
ORD000381,2025-09-19 06:33,PL069,68.9
ORD000382,2025-09-19 10:47,PL170,20.9
ORD000383,2025-09-17 08:32,PL148,13.7
ORD000384,2025-09-19 18:09,PL162,18.1
ORD000385,2025-09-17 13:52,PL087,41.4
ORD000386,2025-09-18 06:01,PL057,3.1
ORD000387,2025-09-18 15:26,PL148,54
ORD000388,2025-09-19 19:05,PL137,5
ORD000389,2025-09-15 10:31,PL027,5.7
ORD000390,2025-09-18 20:47,PL174,32.5
ORD000391,2025-09-17 20:38,PL174,59.8
ORD000392,2025-09-17 06:20,PL003,37.8
ORD000393,2025-09-15 18:15,PL095,25.9
ORD000394,2025-09-21 07:16,PL146,47.8
ORD000395,2025-09-16 17:23,PL138,61.4
ORD000396,2025-09-15 14:05,PL168,67.6
ORD000397,2025-09-20 12:08,PL084,40.1
ORD000398,2025-09-15 13:02,PL053,51.8
ORD000399,2025-09-16 07:29,PL101,28.8
ORD000400,2025-09-16 17:33,PL157,34.2
ORD000401,2025-09-16 21:55,PL137,44.7
ORD000402,2025-09-20 10:37,PL168,7.2
ORD000403,2025-09-16 14:48,PL087,59.6
ORD000404,2025-09-15 15:20,PL076,71.8
ORD000405,2025-09-21 18:23,PL110,32.7
ORD000406,2025-09-17 10:32,PL119,40
ORD000407,2025-09-18 10:14,PL107,26.5
ORD000408,2025-09-16 22:10,PL054,27.6
ORD000409,2025-09-16 06:10,PL057,66.4
ORD000410,2025-09-20 11:42,PL027,46.2
ORD000411,2025-09-21 06:44,PL080,59.6
ORD000412,2025-09-19 21:33,PL110,68.5
ORD000413,2025-09-16 21:28,PL156,15.9
ORD000414,2025-09-16 12:41,PL015,63.4
ORD000415,2025-09-20 15:35,PL102,61.8
ORD000416,2025-09-21 16:05,PL023,49.2
ORD000417,2025-09-18 10:41,PL061,40
ORD000418,2025-09-17 18:21,PL083,24.2
ORD000419,2025-09-19 11:50,PL010,51.4
ORD000420,2025-09-16 10:22,PL141,61.7
ORD000421,2025-09-17 19:30,PL062,30.4
ORD000422,2025-09-19 16:39,PL102,11.5
ORD000423,2025-09-19 18:41,PL001,63.3
ORD000424,2025-09-21 12:02,PL011,51.9
ORD000425,2025-09-16 22:48,PL109,15.7
ORD000426,2025-09-17 10:35,PL026,61.1
ORD000427,2025-09-20 08:14,PL074,32.4
ORD000428,2025-09-17 17:58,PL123,22
ORD000429,2025-09-18 09:56,PL079,67.6
ORD000430,2025-09-18 17:08,PL081,46.3
ORD000431,2025-09-15 20:54,PL111,11.2
ORD000432,2025-09-16 10:53,PL136,60.4
ORD000433,2025-09-15 18:37,PL100,67.6
ORD000434,2025-09-16 09:15,PL091,63
ORD000435,2025-09-20 12:18,PL025,60.6
ORD000436,2025-09-21 13:31,PL024,40.6
ORD000437,2025-09-15 14:17,PL080,32.4
ORD000438,2025-09-18 21:45,PL108,42.2
ORD000439,2025-09-15 13:01,PL016,37.2
ORD000440,2025-09-15 15:12,PL003,59.8
ORD000441,2025-09-15 20:47,PL056,47.9
ORD000442,2025-09-15 07:04,PL149,15
ORD000443,2025-09-20 11:27,PL010,43.6
ORD000444,2025-09-19 13:15,PL085,3.3
ORD000445,2025-09-16 16:54,PL135,33.3
ORD000446,2025-09-19 16:41,PL147,62.9
